"CAIPWL_opt","CAIPWL_skip","CAIPWL_greedy","IPWL_opt","IPWL_skip","IPWL_greedy","CAIPWL_direct","DM_direct","DM_causal","random"
0.156333333333333,0.232333333333333,0.170666666666667,0.254,0.166333333333333,0.128333333333333,0.101,0.102666666666667,0.079,0.158666666666667
0.0566666666666667,0.0536666666666667,0.142,0.131666666666667,0.141,0.128,0.0986666666666667,0.175333333333333,0.114,0.166666666666667
0.145333333333333,0.378333333333333,0.224,0.168333333333333,0.312666666666667,0.186333333333333,0.252666666666667,0.191,0.0396666666666667,0.128333333333333
0.143333333333333,0.169,0.174666666666667,-0.0153333333333333,0.261333333333333,0.117333333333333,0.218666666666667,0.0963333333333333,0.196666666666667,0.154666666666667
0.192666666666667,0.186333333333333,0.0956666666666667,0.0786666666666667,0.067,0.141333333333333,0.183666666666667,0.183666666666667,0.0396666666666667,0.158
0.144,0.151333333333333,0.138333333333333,0.166666666666667,0.164,0.133666666666667,0.144333333333333,0.103666666666667,0.0396666666666667,0.100666666666667
0.227333333333333,0.223333333333333,0.240333333333333,0.178,0.197666666666667,0.177,0.281666666666667,0.375666666666667,0.0396666666666667,0.181
0.214,0.161333333333333,0.128,0.189,0.022,0.199666666666667,0.0876666666666667,0.085,0.196666666666667,0.138
0.176666666666667,0.196666666666667,0.101666666666667,0.184333333333333,0.336,0.184333333333333,0.185333333333333,0.155333333333333,0.100666666666667,0.157333333333333
0.398666666666667,0.044,0.196,0.433333333333333,0.270666666666667,0.113333333333333,0.212,0.224666666666667,0.0396666666666667,0.193666666666667
0.171,0.055,0.169666666666667,0.100666666666667,0.121666666666667,0.222666666666667,0.201333333333333,0.130666666666667,0.0396666666666667,0.167666666666667
0.127,0.238666666666667,0.190666666666667,0.226666666666667,0.111,0.127666666666667,0.364666666666667,0.102333333333333,0.0396666666666667,0.132333333333333
0.164,-0.009,0.228333333333333,0.278666666666667,0.26,0.203666666666667,0.233333333333333,0.376,0.160666666666667,0.166666666666667
0.269,0.374666666666667,0.101666666666667,0.154333333333333,0.155,0.214666666666667,-0.032,0.196,0.196666666666667,0.190666666666667
0.183333333333333,0.271333333333333,0.113333333333333,0.21,0.210333333333333,0.108333333333333,0.111333333333333,0.111333333333333,0.0396666666666667,0.145666666666667
0.145666666666667,0.195333333333333,0.183333333333333,0.196,0.116333333333333,0.188666666666667,0.158333333333333,0.113666666666667,0.129666666666667,0.147333333333333
0.306,0.240666666666667,0.151333333333333,0.318,0.04,0.122666666666667,0.195666666666667,0.191,0.196666666666667,0.147333333333333
0.163333333333333,0.197333333333333,0.0893333333333333,0.155,0.107666666666667,0.099,0.269333333333333,0.269333333333333,0.0396666666666667,0.163666666666667
0.501333333333333,0.501666666666667,0.212,0.158333333333333,0.158666666666667,0.181333333333333,0.225666666666667,0.218666666666667,0.0396666666666667,0.151666666666667
0.149666666666667,0.204333333333333,0.157666666666667,0.087,0.133666666666667,0.199333333333333,0.0133333333333333,0.15,0.215333333333333,0.144
0.182666666666667,0.198666666666667,0.154666666666667,0.158,0.0613333333333333,0.244666666666667,0.0413333333333333,0.0413333333333333,0.215333333333333,0.147333333333333
0.170666666666667,0.187,0.214,0.201666666666667,0.198666666666667,0.198,-0.0603333333333333,-0.0603333333333333,0.215333333333333,0.102
0.150666666666667,0.184666666666667,0.195666666666667,0.150666666666667,0.184666666666667,0.185,0.185,0.457,0.0396666666666667,0.149
0.0843333333333333,0.331666666666667,0.133666666666667,0.199666666666667,0.145333333333333,0.177333333333333,0.01,0.032,0.0396666666666667,0.175333333333333
0.152,0.200666666666667,0.0576666666666667,0.188,0.0646666666666667,0.105333333333333,0.187666666666667,0.187666666666667,0.215333333333333,0.17
0.0923333333333333,0.065,0.133,0.11,0.115666666666667,0.122333333333333,0.134,0.152666666666667,0.124666666666667,0.195333333333333
